Bulk loading file /tmp/bulk_data/clickhouse-data.gz
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1583174582,771748.05,7.738500E+06,771748.05,68812.58,6.900000E+05,68812.58
1583174592,754142.66,1.525950E+07,762969.26,67181.97,1.360000E+06,67999.49
1583174602,706233.47,2.232950E+07,744043.74,62931.70,1.990000E+06,66309.01
1583174612,660484.84,2.894850E+07,723126.22,58873.86,2.580000E+06,64447.75
1583174622,663657.75,3.556700E+07,711266.15,59161.15,3.170000E+06,63393.42
1583174632,684888.17,4.242000E+07,706868.00,60963.34,3.780000E+06,62988.24
1583174642,638938.48,4.880650E+07,697169.09,57025.75,4.350000E+06,62136.92
1583174652,762497.51,5.643550E+07,705338.23,67964.12,5.030000E+06,62865.60
1583174662,675294.31,6.318050E+07,702003.95,60070.66,5.630000E+06,62555.41
1583174672,661102.79,6.979950E+07,697909.41,58928.94,6.220000E+06,62192.37
1583174682,707621.67,7.686950E+07,698791.54,63055.40,6.850000E+06,62270.76
1583174692,738301.96,8.426900E+07,702090.71,65853.00,7.510000E+06,62569.88
1583174702,630146.83,9.055850E+07,696567.37,56106.56,8.070000E+06,62073.67
1583174712,717248.11,9.773700E+07,698045.64,63946.34,8.710000E+06,62207.53
1583174722,639321.44,1.041395E+08,694125.79,56917.33,9.280000E+06,61854.41
1583174732,663423.29,1.107585E+08,692211.37,59135.78,9.870000E+06,61684.89
1583174742,671285.49,1.174865E+08,690977.87,59864.94,1.047000E+07,61577.61
1583174752,630913.85,1.237805E+08,687649.08,56134.69,1.103000E+07,61275.96
1583174762,682927.42,1.306165E+08,687400.35,60939.98,1.164000E+07,61258.26
1583174772,661833.24,1.372355E+08,686121.97,58994.05,1.223000E+07,61145.05
1583174782,707307.53,1.443055E+08,687130.31,63027.40,1.286000E+07,61234.64
1583174792,639439.38,1.507070E+08,684960.36,56936.72,1.343000E+07,61039.09
1583174802,708143.70,1.577770E+08,685966.67,63101.91,1.406000E+07,61128.63
1583174812,685335.19,1.646300E+08,685940.36,61003.13,1.467000E+07,61123.40
1583174822,649041.50,1.711290E+08,684462.57,57923.38,1.525000E+07,60995.24
1583174832,607020.68,1.771890E+08,681489.07,54090.95,1.579000E+07,60730.14
1583174842,674106.28,1.839295E+08,681215.66,60005.01,1.639000E+07,60703.28
1583174852,706473.49,1.909995E+08,682118.37,62953.08,1.702000E+07,60783.69
1583174862,662336.08,1.976185E+08,681436.68,59038.87,1.761000E+07,60723.57
1583174872,706870.90,2.046885E+08,682284.63,62988.50,1.824000E+07,60799.08
1583174882,660574.59,2.113070E+08,681583.01,58886.30,1.883000E+07,60737.26
1583174892,674405.94,2.180355E+08,681359.24,60138.75,1.943000E+07,60718.60
1583174902,674291.28,2.247805E+08,681145.00,59981.43,2.003000E+07,60696.25
1583174912,650968.46,2.312900E+08,680257.49,58001.64,2.061000E+07,60617.00
1583174922,617015.51,2.374595E+08,678450.78,55005.84,2.116000E+07,60456.70
1583174932,683390.54,2.442955E+08,678588.03,60981.31,2.177000E+07,60471.28
1583174942,706548.41,2.513655E+08,679344.18,62959.76,2.240000E+07,60538.58
1583174952,640659.98,2.577670E+08,678326.99,57045.41,2.297000E+07,60446.73
1583174962,696090.54,2.647295E+08,678782.57,61985.80,2.359000E+07,60486.20
1583174972,707434.94,2.717995E+08,679498.43,63038.76,2.422000E+07,60549.97
1583174982,605931.11,2.778595E+08,677703.91,53993.86,2.476000E+07,60390.05
1583174992,639027.83,2.842490E+08,676783.16,57006.94,2.533000E+07,60309.51
1583175002,672996.43,2.909895E+08,676694.97,59906.22,2.593000E+07,60300.12
1583175012,707575.57,2.980595E+08,677396.21,63051.29,2.656000E+07,60362.59
1583175022,561105.79,3.036685E+08,674812.95,50018.34,2.706000E+07,60132.80
1583175032,650005.35,3.101795E+08,674272.77,57902.49,2.764000E+07,60084.24
1583175042,606898.28,3.162395E+08,672841.41,54080.04,2.818000E+07,59956.68
1583175052,638938.80,3.226290E+08,672135.11,56999.00,2.875000E+07,59895.06
1583175062,674246.77,3.293695E+08,672178.19,60017.52,2.935000E+07,59897.56
1583175072,661998.01,3.359885E+08,671974.62,59008.74,2.994000E+07,59879.79
1583175082,594978.61,3.419405E+08,670464.34,52980.29,3.047000E+07,59744.45
1583175092,651293.40,3.484500E+08,670095.87,58030.60,3.105000E+07,59711.51
1583175102,627294.66,3.547270E+08,669287.79,55963.84,3.161000E+07,59640.76
1583175112,616628.36,3.608965E+08,668312.12,54971.33,3.216000E+07,59554.24
1583175122,662369.42,3.675155E+08,668204.15,59041.84,3.275000E+07,59544.93
1583175132,561612.52,3.731290E+08,666301.62,50023.38,3.325000E+07,59374.99
1583175142,561957.66,3.787500E+08,664470.57,49987.34,3.375000E+07,59210.25
1583175152,627238.43,3.850270E+08,663828.17,55958.82,3.431000E+07,59154.15
1583175162,650557.84,3.915385E+08,663603.06,57947.25,3.489000E+07,59133.68
1583175172,606382.97,3.975985E+08,662650.01,54034.13,3.543000E+07,59048.74
1583175182,594983.24,4.035505E+08,661540.35,52980.70,3.596000E+07,58949.23
1583175192,684010.30,4.103865E+08,661902.54,61036.61,3.657000E+07,58982.88
1583175202,650143.20,4.168970E+08,661715.63,57919.22,3.715000E+07,58965.97
1583175212,584917.77,4.227405E+08,660516.86,52050.52,3.767000E+07,58858.02
1583175222,627969.00,4.290170E+08,660016.38,56028.46,3.823000E+07,58814.51
1583175232,649073.61,4.355270E+08,659850.10,57828.37,3.881000E+07,58799.53
1583175242,675323.14,4.422555E+08,660080.19,60220.54,3.941000E+07,58820.66
1583175252,628646.16,4.485495E+08,659617.39,55932.93,3.997000E+07,58778.14
1583175262,639297.87,4.549390E+08,659323.06,57031.03,4.054000E+07,58752.84
1583175272,663519.32,4.615700E+08,659382.97,59037.31,4.113000E+07,58756.90
1583175282,627675.84,4.678470E+08,658936.38,55997.84,4.169000E+07,58718.04
1583175292,672557.35,4.745755E+08,659125.64,59973.90,4.229000E+07,58735.49
1583175302,618515.99,4.807600E+08,658569.41,55005.87,4.284000E+07,58684.40
1583175312,683752.50,4.875970E+08,658909.69,61004.68,4.345000E+07,58715.76
1583175322,595366.44,4.935485E+08,658062.76,53019.27,4.398000E+07,58639.83
1583175332,695438.28,5.005105E+08,658555.07,61932.17,4.460000E+07,58683.20
1583175342,661991.29,5.071295E+08,658599.69,59008.14,4.519000E+07,58687.42
1583175352,637838.64,5.135190E+08,658333.07,56900.86,4.576000E+07,58664.47
1583175362,563301.30,5.191400E+08,657132.71,50106.86,4.626000E+07,58556.38
1583175372,626536.67,5.254170E+08,656749.56,55896.21,4.682000E+07,58523.07
1583175382,585455.52,5.312600E+08,655871.13,52102.84,4.734000E+07,58443.96
1583175392,694066.13,5.382055E+08,656337.24,61956.81,4.796000E+07,58486.83
1583175402,640151.37,5.446070E+08,656142.24,57000.12,4.853000E+07,58468.92
1583175412,616879.59,5.507765E+08,655674.78,54993.72,4.908000E+07,58427.54
1583175422,640986.12,5.571785E+08,655502.18,57069.99,4.965000E+07,58411.59
1583175432,650969.45,5.636895E+08,655449.47,57988.37,5.023000E+07,58406.67
1583175442,696271.64,5.706500E+08,655918.54,62019.74,5.085000E+07,58448.19
1583175452,593042.69,5.765855E+08,655203.44,52954.70,5.138000E+07,58385.71
1583175462,662959.80,5.832090E+08,655290.51,59054.32,5.197000E+07,58393.21
1583175472,617836.96,5.893905E+08,654874.15,54972.15,5.252000E+07,58355.18
1583175482,683347.95,5.962265E+08,655187.16,60977.51,5.313000E+07,58384.01
1583175492,662346.88,6.028455E+08,655264.93,59039.83,5.372000E+07,58391.13
1583175502,673316.71,6.095905E+08,655459.37,59894.74,5.432000E+07,58407.33
1583175512,628471.21,6.158670E+08,655172.64,56073.27,5.488000E+07,58382.53
1583175522,650492.14,6.223770E+08,655123.33,57954.75,5.546000E+07,58378.03
1583175532,640852.04,6.287805E+08,654974.79,57044.69,5.603000E+07,58364.15
1583175542,614863.29,6.349485E+08,654559.99,54827.30,5.658000E+07,58327.57
1583175552,629967.97,6.412255E+08,654309.95,56202.34,5.714000E+07,58305.96
1583175562,639643.27,6.476270E+08,654161.69,56954.88,5.771000E+07,58292.31
1583175572,595555.58,6.535795E+08,653575.93,53027.21,5.824000E+07,58239.68
1583175582,707117.84,6.606495E+08,654105.96,63010.50,5.887000E+07,58286.91
1583175592,616077.04,6.668170E+08,653732.72,54939.99,5.942000E+07,58254.06
1583175602,651942.17,6.733285E+08,653715.36,58070.56,6.000000E+07,58252.28
1583175612,627823.09,6.796055E+08,653466.45,56010.98,6.056000E+07,58230.74
1583175622,583604.86,6.854490E+08,652800.26,51933.69,6.108000E+07,58170.69
1583175632,628033.28,6.917255E+08,652566.75,56034.20,6.164000E+07,58150.54
1583175642,640516.78,6.981270E+08,652454.20,57032.66,6.221000E+07,58140.10
1583175652,695891.92,7.050895E+08,652856.60,61968.11,6.283000E+07,58175.57
1583175662,639367.67,7.114790E+08,652732.93,57037.26,6.340000E+07,58165.13
1583175672,684796.01,7.183270E+08,653024.42,60999.64,6.401000E+07,58190.90
1583175682,605776.49,7.243870E+08,652598.60,53980.08,6.455000E+07,58152.95
1583175692,560276.73,7.299970E+08,651773.25,49935.54,6.505000E+07,58079.49
1583175702,630352.69,7.362900E+08,651584.00,56093.68,6.561000E+07,58061.94
1583175712,627388.23,7.425670E+08,651371.66,55972.19,6.617000E+07,58043.60
1583175722,640228.44,7.489705E+08,651274.74,56989.18,6.674000E+07,58034.43
1583175732,683468.82,7.558065E+08,651552.33,60988.29,6.735000E+07,58059.90
1583175742,674227.27,7.625500E+08,651746.16,59989.08,6.795000E+07,58076.39
1583175752,617602.15,7.687195E+08,651457.11,55058.14,6.850000E+07,58050.84
1583175762,627562.72,7.749965E+08,651256.28,55987.75,6.906000E+07,58033.50
1583175772,639022.01,7.813985E+08,651154.14,56895.12,6.963000E+07,58023.99
1583175782,606929.78,7.874585E+08,650789.21,54082.85,7.017000E+07,57991.47
1583175792,718118.06,7.946370E+08,651340.88,64023.90,7.081000E+07,58040.90
1583175802,625837.27,8.009300E+08,651132.39,55691.86,7.137000E+07,58021.70
1583175812,664625.10,8.075505E+08,651240.78,59229.49,7.196000E+07,58031.40
1583175822,639243.73,8.139355E+08,651144.92,57066.39,7.253000E+07,58023.69
1583175832,606171.49,8.199955E+08,650788.09,54015.28,7.307000E+07,57991.89
1583175842,661977.14,8.266190E+08,650876.24,58966.79,7.366000E+07,57999.57
1583175852,606497.74,8.326790E+08,650529.82,54044.35,7.420000E+07,57968.69
1583175862,662481.80,8.393100E+08,650622.55,58945.00,7.479000E+07,57976.27
1583175872,628198.53,8.455870E+08,650450.20,56044.48,7.535000E+07,57961.42
1583175882,616945.37,8.517565E+08,650194.44,54999.59,7.590000E+07,57938.81
1583175892,661246.57,8.583755E+08,650278.25,58941.76,7.649000E+07,57946.42
1583175902,629194.71,8.646695E+08,650119.67,55981.73,7.705000E+07,57931.64
1583175912,696696.10,8.716300E+08,650466.93,62057.55,7.767000E+07,57962.40
1583175922,616493.85,8.777995E+08,650215.10,54959.33,7.822000E+07,57940.14
1583175932,662639.89,8.844185E+08,650306.36,59065.95,7.881000E+07,57948.41
1583175942,616663.53,8.905870E+08,650060.71,54983.37,7.936000E+07,57926.76
1583175952,685303.88,8.974405E+08,650316.12,60995.89,7.997000E+07,57949.00
1583175962,627953.96,9.037170E+08,650155.31,56027.12,8.053000E+07,57935.18
1583175972,650086.64,9.102270E+08,650154.82,57918.63,8.111000E+07,57935.06
1583175982,641351.85,9.166305E+08,650092.49,57089.18,8.168000E+07,57929.07
1583175992,605719.23,9.226905E+08,649779.86,53974.98,8.222000E+07,57901.21
1583176002,594047.54,9.286290E+08,649390.25,53017.63,8.275000E+07,57867.07
1583176012,695665.27,9.355865E+08,649711.64,61992.45,8.337000E+07,57895.73
1583176022,640354.61,9.419885E+08,649647.13,57013.77,8.394000E+07,57889.65
1583176032,616597.50,9.481570E+08,649420.67,54977.49,8.449000E+07,57869.69
1583176042,629255.01,9.544500E+08,649283.48,55996.00,8.505000E+07,57856.94
1583176052,617093.93,9.606195E+08,649066.03,55012.83,8.560000E+07,57837.73
1583176062,605839.90,9.666795E+08,648775.85,53985.73,8.614000E+07,57811.87
1583176072,683636.78,9.735155E+08,649008.24,61003.28,8.675000E+07,57833.15
1583176082,618662.87,9.797000E+08,648807.35,55018.93,8.730000E+07,57814.52
1583176092,661587.72,9.863205E+08,648891.49,58958.80,8.789000E+07,57822.05
1583176102,606308.22,9.923805E+08,648613.31,54027.47,8.843000E+07,57797.26
1583176112,694805.85,9.993290E+08,648913.28,61996.06,8.905000E+07,57824.53
1583176122,606018.29,1.005389E+09,648636.54,54001.63,8.959000E+07,57799.86
1583176132,617604.72,1.011570E+09,648437.45,54951.48,9.014000E+07,57781.59
1583176142,684364.04,1.018406E+09,648666.02,61068.18,9.075000E+07,57802.50
1583176152,593536.54,1.024357E+09,648316.22,52865.20,9.128000E+07,57771.17
1583176162,607554.01,1.030417E+09,648060.51,54138.48,9.182000E+07,57748.38
1583176172,550033.60,1.035918E+09,647447.71,48989.63,9.231000E+07,57693.63
1583176182,605960.82,1.041978E+09,647190.01,53996.51,9.285000E+07,57670.66
1583176192,717977.95,1.049157E+09,647626.90,64011.41,9.349000E+07,57709.80
1583176202,651115.40,1.055667E+09,647648.30,58010.28,9.407000E+07,57711.64
1583176212,660785.16,1.062287E+09,647728.55,58891.73,9.466000E+07,57718.85
1583176222,641150.42,1.068690E+09,647688.73,57080.16,9.523000E+07,57714.98
1583176232,606126.40,1.074750E+09,647438.41,54011.26,9.577000E+07,57692.68
1583176242,672921.10,1.081477E+09,647590.96,60015.26,9.637000E+07,57706.58
1583176252,639308.88,1.087880E+09,647541.59,56916.21,9.694000E+07,57701.87
1583176262,662021.08,1.094498E+09,647627.25,59010.79,9.753000E+07,57709.61
1583176272,595118.60,1.100450E+09,647318.34,52992.75,9.806000E+07,57681.86
1583176282,729469.56,1.107737E+09,647798.22,65073.11,9.871000E+07,57725.04
1583176292,629409.09,1.114030E+09,647691.32,56009.71,9.927000E+07,57715.07
1583176302,626648.65,1.120307E+09,647569.48,55906.20,9.983000E+07,57704.59
1583176312,685722.22,1.127160E+09,647788.62,61037.58,1.004400E+08,57723.74
1583176322,561107.63,1.132770E+09,647293.35,50005.14,1.009400E+08,57679.64
1583176332,695604.79,1.139719E+09,647567.55,62067.35,1.015600E+08,57704.54
1583176342,673834.66,1.146460E+09,647716.00,59980.83,1.021600E+08,57717.40
1583176352,683141.40,1.153296E+09,647915.15,60959.08,1.027700E+08,57735.63
1583176362,674942.87,1.160040E+09,648066.04,60039.40,1.033700E+08,57748.49
1583176372,671900.73,1.166767E+09,648198.61,59933.17,1.039700E+08,57760.64
1583176382,717697.52,1.173946E+09,648582.71,63977.49,1.046100E+08,57795.00
1583176392,606454.01,1.180006E+09,648351.41,54040.46,1.051500E+08,57774.39
1583176402,685218.31,1.186860E+09,648552.89,60992.73,1.057600E+08,57791.97
1583176412,606682.10,1.192920E+09,648325.59,54060.78,1.063000E+08,57771.72
1583176422,661501.85,1.199538E+09,648396.85,58964.51,1.068900E+08,57778.17
1583176432,661359.78,1.206157E+09,648466.60,58956.30,1.074800E+08,57784.51
1583176442,641217.75,1.212560E+09,648427.88,57077.24,1.080500E+08,57780.73
1583176452,693840.30,1.219509E+09,648669.79,61909.91,1.086700E+08,57802.73
1583176462,606692.16,1.225569E+09,648447.94,54061.68,1.092100E+08,57782.96
1583176472,695843.26,1.232526E+09,648697.35,62008.31,1.098300E+08,57805.19
1583176482,684696.38,1.239380E+09,648886.00,60946.27,1.104400E+08,57821.65
1583176492,673324.38,1.246107E+09,649013.17,60051.23,1.110400E+08,57833.25
1583176502,684939.74,1.252960E+09,649199.43,60963.48,1.116500E+08,57849.48
1583176512,662255.67,1.259580E+09,649266.69,59031.70,1.122400E+08,57855.57
1583176522,661991.47,1.266198E+09,649331.94,59008.15,1.128300E+08,57861.48
1583176532,616404.17,1.272367E+09,649163.82,54960.25,1.133800E+08,57846.67
1583176542,651208.77,1.278877E+09,649174.20,58018.60,1.139600E+08,57847.54
1583176552,685660.85,1.285730E+09,649358.38,61032.12,1.145700E+08,57863.62
1583176562,561079.71,1.291340E+09,648914.79,50002.65,1.150700E+08,57824.12
1583176572,504920.87,1.296390E+09,648194.71,44992.95,1.155200E+08,57759.95
1583176582,650197.17,1.302900E+09,648204.68,57932.92,1.161000E+08,57760.81

Summary:
loaded 1308960000 metrics in 2019.060sec with 2 workers (mean rate 648301.84 metrics/sec)
loaded 116640000 rows in 2019.060sec with 2 workers (mean rate 57769.47 rows/sec)
